RELATÓRIO GERADO DE FORMA AUTOMÁTICA COM INTENÇÃO EM VERIFICAR MÉDIA DE NOTAS
ID_UF;Nome_Estado;ID_Municipio;Nome_Municipio;Ano;Nota_Candidato
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;508,40
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;490,32
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;700,61
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;458,23
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;442,99
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;566,40
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;537,13
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;609,48
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;717,36
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;542,69
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;652,43
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;522,10
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;550,54
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;459,46
11;"Rondônia";1100106;"Guajará-Mirim (RO)";2022;479,68
11;"Rondônia";1100114;"Jaru (RO)";2022;581,87
11;"Rondônia";1100114;"Jaru (RO)";2022;615,24
11;"Rondônia";1100114;"Jaru (RO)";2022;596,58
11;"Rondônia";1100114;"Jaru (RO)";2022;532,80
11;"Rondônia";1100114;"Jaru (RO)";2022;673,70
11;"Rondônia";1100114;"Jaru (RO)";2022;751,62
11;"Rondônia";1100114;"Jaru (RO)";2022;651,65
11;"Rondônia";1100114;"Jaru (RO)";2022;590,73
11;"Rondônia";1100114;"Jaru (RO)";2022;466,50
11;"Rondônia";1100114;"Jaru (RO)";2022;618,00
11;"Rondônia";1100114;"Jaru (RO)";2022;581,87
11;"Rondônia";1100114;"Jaru (RO)";2022;615,24
11;"Rondônia";1100114;"Jaru (RO)";2022;596,58
11;"Rondônia";1100114;"Jaru (RO)";2022;532,80
11;"Rondônia";1100114;"Jaru (RO)";2022;673,70
11;"Rondônia";1100114;"Jaru (RO)";2022;751,62
11;"Rondônia";1100114;"Jaru (RO)";2022;651,65
11;"Rondônia";1100114;"Jaru (RO)";2022;590,73
11;"Rondônia";1100114;"Jaru (RO)";2022;466,50
11;"Rondônia";1100114;"Jaru (RO)";2022;618,00
11;"Rondônia";1100122;"Ji-Paraná (RO)";2022;599,58
